f;n;t;r;value
Entero;1;1;1;66.269095905653
Medio Pollo;1;1;1;68.33861343982706
Medio Pollo Superior;1;1;1;68.70322876510673
Medio Pollo Inferior;1;1;1;73.81684179857221
Cuarto de Pollo Superior;1;1;1;72.85588101419967
Muslo Entero;1;1;1;78.25998451668693
Pechuga Completa;1;1;1;74.20512191204726
Ala Completa;1;1;1;95.52098652747604
Media Pechuga;1;1;1;80.5824567445852
Blanqueta;1;1;1;110.28165766426658
Alón;1;1;1;114.17418395521865
Punta;1;1;1;118.09748455903106
Jamoncito;1;1;1;99.03932813470561
Medio Muslo;1;1;1;80.05768580080567
Entero;1;2;1;66.28123840530084
Medio Pollo;1;2;1;68.34477358530049
Medio Pollo Superior;1;2;1;68.70322876510673
Medio Pollo Inferior;1;2;1;73.80621669706802
Cuarto de Pollo Superior;1;2;1;72.84097132253113
Muslo Entero;1;2;1;78.26271182799968
Pechuga Completa;1;2;1;74.20512191204726
Ala Completa;1;2;1;95.52163972544722
Media Pechuga;1;2;1;80.58576147826172
Blanqueta;1;2;1;110.2953172301295
Alón;1;2;1;114.17418395521865
Punta;1;2;1;118.09748455903106
Jamoncito;1;2;1;99.03932813470561
Medio Muslo;1;2;1;80.05768580080569
Entero;1;3;1;66.25695340600521
Medio Pollo;1;3;1;68.34477358530049
Medio Pollo Superior;1;3;1;68.70322876510673
Medio Pollo Inferior;1;3;1;73.81684179857221
Cuarto de Pollo Superior;1;3;1;72.85588101419967
Muslo Entero;1;3;1;78.26271182799968
Pechuga Completa;1;3;1;74.20512191204726
Ala Completa;1;3;1;95.52163972544722
Media Pechuga;1;3;1;80.58576147826172
Blanqueta;1;3;1;110.2953172301295
Alón;1;3;1;114.17418395521865
Punta;1;3;1;118.09748455903106
Jamoncito;1;3;1;99.03932813470561
Medio Muslo;1;3;1;80.05768580080569
Entero;1;4;1;66.28123840530084
Medio Pollo;1;4;1;68.34477358530049
Medio Pollo Superior;1;4;1;68.70322876510673
Medio Pollo Inferior;1;4;1;73.80621669706802
Cuarto de Pollo Superior;1;4;1;72.85588101419967
Muslo Entero;1;4;1;78.26271182799968
Pechuga Completa;1;4;1;74.20512191204726
Ala Completa;1;4;1;95.51902693356251
Media Pechuga;1;4;1;80.57254254355566
Blanqueta;1;4;1;110.2953172301295
Alón;1;4;1;114.17418395521865
Punta;1;4;1;118.09748455903106
Jamoncito;1;4;1;99.03932813470561
Medio Muslo;1;4;1;80.05768580080569
Entero;1;5;1;66.28123840530084
Medio Pollo;1;5;1;68.34477358530049
Medio Pollo Superior;1;5;1;68.70322876510673
Medio Pollo Inferior;1;5;1;73.80621669706802
Cuarto de Pollo Superior;1;5;1;72.84097132253113
Muslo Entero;1;5;1;78.26271182799968
Pechuga Completa;1;5;1;74.20512191204726
Ala Completa;1;5;1;95.52163972544722
Media Pechuga;1;5;1;80.58576147826172
Blanqueta;1;5;1;110.2953172301295
Alón;1;5;1;114.17418395521865
Punta;1;5;1;118.09748455903106
Jamoncito;1;5;1;99.03932813470561
Medio Muslo;1;5;1;80.05768580080569
Entero;1;6;1;66.28123840530084
Medio Pollo;1;6;1;68.34477358530049
Medio Pollo Superior;1;6;1;68.70322876510673
Medio Pollo Inferior;1;6;1;73.81684179857221
Cuarto de Pollo Superior;1;6;1;72.85588101419967
