f;t;r;value
Entero;1;1;414.0
Medio Pollo;1;1;520.5
Medio Pollo Superior;1;1;586.233636586372
Medio Pollo Inferior;1;1;666.7741935483871
Cuarto de Pollo Superior;1;1;751.9410504083236
Muslo Entero;1;1;634.35766140025
Pechuga Completa;1;1;954.4927176857009
Ala Completa;1;1;383.7051686545778
Media Pechuga;1;1;1468.1667347644336
Blanqueta;1;1;0.0
Alón;1;1;0.0
Punta;1;1;0.0
Jamoncito;1;1;814.8602150537635
Medio Muslo;1;1;897.9101475045301
Entero;2;1;421.0
Medio Pollo;2;1;535.5
Medio Pollo Superior;2;1;912.9276537362088
Medio Pollo Inferior;2;1;458.41061313941805
Cuarto de Pollo Superior;2;1;1145.665273798264
Muslo Entero;2;1;632.4704914419407
Pechuga Completa;2;1;1343.5488236746398
Ala Completa;2;1;439.21415854633705
Media Pechuga;2;1;1115.6070846090845
Blanqueta;2;1;0.0
Alón;2;1;0.0
Punta;2;1;0.0
Jamoncito;2;1;839.8602150537635
Medio Muslo;2;1;2032.7614295050903
Entero;3;1;320.8753300277316
Medio Pollo;3;1;535.5
Medio Pollo Superior;3;1;760.5806451612904
Medio Pollo Inferior;3;1;886.4550236200457
Cuarto de Pollo Superior;3;1;666.0158871367827
Muslo Entero;3;1;1045.6428394121501
Pechuga Completa;3;1;864.8801308680672
Ala Completa;3;1;635.2890596703711
Media Pechuga;3;1;1548.5948272428009
Blanqueta;3;1;0.0
Alón;3;1;0.0
Punta;3;1;0.0
Jamoncito;3;1;839.8602150537635
Medio Muslo;3;1;1492.6510036355407
Entero;4;1;352.8675973243935
Medio Pollo;4;1;414.6235451916093
Medio Pollo Superior;4;1;760.5806451612904
Medio Pollo Inferior;4;1;727.4569438856975
Cuarto de Pollo Superior;4;1;1260.6352717172986
Muslo Entero;4;1;922.5396021921243
Pechuga Completa;4;1;1338.8185237327014
Ala Completa;4;1;472.1679309349334
Media Pechuga;4;1;1556.7460155683598
Blanqueta;4;1;0.0
Alón;4;1;0.0
Punta;4;1;0.0
Jamoncito;4;1;839.8602150537635
Medio Muslo;4;1;958.7288326297368
Entero;5;1;414.5973658204623
Medio Pollo;5;1;341.50494453624435
Medio Pollo Superior;5;1;760.5806451612904
Medio Pollo Inferior;5;1;690.7741935483871
Cuarto de Pollo Superior;5;1;1078.3876782296543
Muslo Entero;5;1;860.6238024926313
Pechuga Completa;5;1;1205.3327469550584
Ala Completa;5;1;413.8747979825367
Media Pechuga;5;1;1247.207816367618
Blanqueta;5;1;0.0
Alón;5;1;0.0
Punta;5;1;0.0
Jamoncito;5;1;763.4451158522967
Medio Muslo;5;1;1781.5179533131889
Entero;6;1;341.4048472407109
Medio Pollo;6;1;714.3923624182257
Medio Pollo Superior;6;1;555.28419661997
Medio Pollo Inferior;6;1;657.4089068264511
Cuarto de Pollo Superior;6;1;987.1290322580646
Muslo Entero;6;1;599.9987037715995
Pechuga Completa;6;1;1822.801944344483
Ala Completa;6;1;523.1100055891502
Media Pechuga;6;1;1792.5546010934786
Blanqueta;6;1;0.0
Alón;6;1;0.0
Punta;6;1;0.0
Jamoncito;6;1;875.9480525685991
Medio Muslo;6;1;1639.734938035115
Entero;7;1;403.24718328342317
Medio Pollo;7;1;470.751744139963
Medio Pollo Superior;7;1;965.8770937026108
Medio Pollo Inferior;7;1;652.139246692524
Cuarto de Pollo Superior;7;1;938.0729124172357
Muslo Entero;7;1;595.0344120969322
Pechuga Completa;7;1;961.2970679647301
Ala Completa;7;1;381.47899578662964
Media Pechuga;7;1;1109.7307046547598
Blanqueta;7;1;0.0
Alón;7;1;0.0
Punta;7;1;0.0
Jamoncito;7;1;580.2398298323885
Medio Muslo;7;1;1045.5839578723076
Entero;8;1;635.6370477671143
Medio Pollo;8;1;466.32846963421144
Medio Pollo Superior;8;1;1056.4308482759104
Medio Pollo Inferior;8;1;731.1335793657794
Cuarto de Pollo Superior;8;1;952.7583794025223
Muslo Entero;8;1;902.6749240928907
Pechuga Completa;8;1;976.3077546692488
Ala Completa;8;1;982.2053660386656
Media Pechuga;8;1;1223.4602120666766
Blanqueta;8;1;0.0
Alón;8;1;0.0
Punta;8;1;0.0
Jamoncito;8;1;943.3562490585438
Medio Muslo;8;1;1644.1655009453502
Entero;9;1;420.1545974934546
Medio Pollo;9;1;844.5318663277241
Medio Pollo Superior;9;1;561.4226075392725
Medio Pollo Inferior;9;1;562.8066135949782
