f;n;t;r;value
Entero;1;1;1;413.9999999999991
Medio Pollo;1;1;1;520.5
Medio Pollo Superior;1;1;1;738.5806451612907
Medio Pollo Inferior;1;1;1;666.7741935483873
Cuarto de Pollo Superior;1;1;1;953.1290322580653
Muslo Entero;1;1;1;864.9193548387102
Pechuga Completa;1;1;1;1329.677419354839
Ala Completa;1;1;1;595.354838709678
Media Pechuga;1;1;1;1647.0967741935483
Blanqueta;1;1;1;0.0
Alón;1;1;1;0.0
Punta;1;1;1;0.0
Jamoncito;1;1;1;814.8602150537636
Medio Muslo;1;1;1;1455.1075268817212
Entero;1;2;1;413.9999999999991
Medio Pollo;1;2;1;520.5
Medio Pollo Superior;1;2;1;738.5806451612907
Medio Pollo Inferior;1;2;1;666.7741935483873
Cuarto de Pollo Superior;1;2;1;953.1290322580653
Muslo Entero;1;2;1;864.9193548387093
Pechuga Completa;1;2;1;1329.677419354839
Ala Completa;1;2;1;595.354838709678
Media Pechuga;1;2;1;1647.0967741935483
Blanqueta;1;2;1;0.0
Alón;1;2;1;0.0
Punta;1;2;1;0.0
Jamoncito;1;2;1;814.8602150537636
Medio Muslo;1;2;1;1455.1075268817203
Entero;1;3;1;413.9999999999991
Medio Pollo;1;3;1;520.5
Medio Pollo Superior;1;3;1;738.5806451612907
Medio Pollo Inferior;1;3;1;666.7741935483873
Cuarto de Pollo Superior;1;3;1;953.1290322580653
Muslo Entero;1;3;1;864.9193548387093
Pechuga Completa;1;3;1;1329.677419354839
Ala Completa;1;3;1;595.354838709678
Media Pechuga;1;3;1;1647.0967741935483
Blanqueta;1;3;1;0.0
Alón;1;3;1;0.0
Punta;1;3;1;0.0
Jamoncito;1;3;1;814.8602150537636
Medio Muslo;1;3;1;1455.1075268817203
Entero;1;4;1;413.9999999999991
Medio Pollo;1;4;1;520.5
Medio Pollo Superior;1;4;1;738.5806451612907
Medio Pollo Inferior;1;4;1;666.7741935483873
Cuarto de Pollo Superior;1;4;1;953.1290322580653
Muslo Entero;1;4;1;864.9193548387093
Pechuga Completa;1;4;1;1329.677419354839
Ala Completa;1;4;1;595.354838709678
Media Pechuga;1;4;1;1647.0967741935483
Blanqueta;1;4;1;0.0
Alón;1;4;1;0.0
Punta;1;4;1;0.0
Jamoncito;1;4;1;814.8602150537636
Medio Muslo;1;4;1;1455.1075268817203
Entero;1;5;1;413.9999999999991
Medio Pollo;1;5;1;520.5
Medio Pollo Superior;1;5;1;738.5806451612907
