k;t;r;value
p1;1;1;6258.863
p2;1;1;0.0
p3;1;1;16627.977000000003
p4;1;1;0.0
p5;1;1;0.0
p6;1;1;0.0
p7;1;1;13152.110999999999
p8;1;1;0.0
p9;1;1;0.0
p10;1;1;0.0
p11;1;1;0.0
p12;1;1;0.0
p13;1;1;8.827
p14;1;1;0.0
p15;1;1;25355.169000000005
p16;1;1;0.0
p17;1;1;20615.512000000002
p18;1;1;0.0
p19;1;1;0.0
p20;1;1;0.0
p21;1;1;21107.916
p22;1;1;0.0
p23;1;1;-0.0
p24;1;1;35660.159999999996
p25;1;1;0.0
p26;1;1;0.0
p27;1;1;5701.881
p28;1;1;0.0
p1;2;1;6252.082
p2;2;1;0.0
p3;2;1;16627.977000000003
p4;2;1;0.0
p5;2;1;0.0
p6;2;1;0.0
p7;2;1;13152.110999999999
p8;2;1;0.0
p9;2;1;0.0
p10;2;1;0.0
p11;2;1;0.0
p12;2;1;0.0
p13;2;1;0.0
p14;2;1;0.0
p15;2;1;25355.169000000005
p16;2;1;0.0
p17;2;1;20615.512000000002
p18;2;1;16.308000000000003
p19;2;1;0.0
p20;2;1;0.0
p21;2;1;21107.916
p22;2;1;0.0
p23;2;1;-0.0
p24;2;1;35660.159999999996
p25;2;1;0.0
p26;2;1;0.0
p27;2;1;5701.881
p28;2;1;0.0
p1;3;1;6265.644
p2;3;1;0.0
p3;3;1;16627.977000000003
p4;3;1;0.0
p5;3;1;0.0
p6;3;1;0.0
p7;3;1;13152.110999999999
p8;3;1;0.0
p9;3;1;0.0
p10;3;1;0.0
p11;3;1;0.0
p12;3;1;0.0
p13;3;1;0.0
p14;3;1;0.0
p15;3;1;25355.169000000005
p16;3;1;0.0
p17;3;1;20615.512000000002
p18;3;1;0.0
p19;3;1;0.0
p20;3;1;0.0
p21;3;1;21107.916
p22;3;1;0.0
p23;3;1;-0.0
p24;3;1;35660.159999999996
p25;3;1;0.0
p26;3;1;0.0
p27;3;1;5701.881
p28;3;1;0.0
p1;4;1;6252.082
p2;4;1;0.0
p3;4;1;16627.977000000003
p4;4;1;0.0
p5;4;1;0.0
p6;4;1;0.0
p7;4;1;13152.110999999999
p8;4;1;0.0
p9;4;1;0.0
p10;4;1;0.0
p11;4;1;0.0
p12;4;1;0.0
p13;4;1;0.0
p14;4;1;0.0
p15;4;1;25374.183000000005
p16;4;1;0.0
p17;4;1;20615.512000000002
p18;4;1;0.0
p19;4;1;0.0
p20;4;1;0.0
p21;4;1;21107.916
p22;4;1;0.0
p23;4;1;-0.0
p24;4;1;35660.159999999996
p25;4;1;0.0
p26;4;1;0.0
p27;4;1;5701.881
p28;4;1;0.0
p1;5;1;6252.082
p2;5;1;0.0
p3;5;1;16627.977000000003
p4;5;1;0.0
p5;5;1;0.0
p6;5;1;0.0
p7;5;1;13152.110999999999
p8;5;1;0.0
p9;5;1;0.0
p10;5;1;0.0
p11;5;1;0.0
p12;5;1;0.0
p13;5;1;0.0
p14;5;1;0.0
p15;5;1;25355.169000000005
p16;5;1;0.0
p17;5;1;20615.512000000002
p18;5;1;16.308000000000003
p19;5;1;0.0
p20;5;1;0.0
p21;5;1;21107.916
p22;5;1;0.0
p23;5;1;-0.0
p24;5;1;35660.159999999996
p25;5;1;0.0
p26;5;1;0.0
p27;5;1;5701.881
p28;5;1;0.0
p1;6;1;6252.082
p2;6;1;0.0
p3;6;1;16627.977000000003
p4;6;1;0.0
p5;6;1;0.0
p6;6;1;0.0
p7;6;1;13152.110999999999
p8;6;1;0.0
p9;6;1;0.0
p10;6;1;0.0
p11;6;1;0.0
p12;6;1;0.0
p13;6;1;0.0
p14;6;1;0.0
p15;6;1;25355.169000000005
p16;6;1;0.0
p17;6;1;20615.512000000002
p18;6;1;0.0
p19;6;1;0.0
p20;6;1;0.0
p21;6;1;21107.916
p22;6;1;0.0
p23;6;1;-0.0
p24;6;1;35681.903999999995
p25;6;1;0.0
p26;6;1;0.0
p27;6;1;5701.881
p28;6;1;0.0
p1;7;1;6252.082
p2;7;1;0.0
p3;7;1;16627.977000000003
p4;7;1;0.0
p5;7;1;0.0
p6;7;1;0.0
p7;7;1;13152.110999999999
p8;7;1;0.0
p9;7;1;0.0
p10;7;1;0.0
p11;7;1;0.0
p12;7;1;0.0
p13;7;1;0.0
p14;7;1;0.0
p15;7;1;25355.169000000005
p16;7;1;0.0
p17;7;1;20634.530000000002
p18;7;1;0.0
p19;7;1;0.0
p20;7;1;0.0
p21;7;1;21107.916
p22;7;1;0.0
p23;7;1;-0.0
p24;7;1;35660.159999999996
p25;7;1;0.0
p26;7;1;0.0
p27;7;1;5701.881
p28;7;1;0.0
p1;8;1;3410.8430000000003
p2;8;1;0.0
p3;8;1;13527.018000000002
p4;8;1;0.0
p5;8;1;20.350000000000005
p6;8;1;0.0
p7;8;1;17042.172
p8;8;1;0.0
p9;8;1;0.0
p10;8;1;0.0
p11;8;1;0.0
p12;8;1;71392.50000000001
p13;8;1;0.0
p14;8;1;0.0
p15;8;1;3146.8170000000005
p16;8;1;18468.253999999997
p17;8;1;836.792
p18;8;1;0.0
p19;8;1;0.0
p20;8;1;0.0
p21;8;1;0.0
p22;8;1;0.0
p23;8;1;-0.0
p24;8;1;32626.871999999996
p25;8;1;0.0
p26;8;1;0.0
p27;8;1;0.0
p28;8;1;0.0
p1;9;1;7479.443
p2;9;1;0.0
p3;9;1;19533.600000000002
p4;9;1;0.0
p5;9;1;0.0
p6;9;1;0.0
p7;9;1;14545.829
p8;9;1;0.0
p9;9;1;0.0
p10;9;1;0.0
p11;9;1;825.1519999999999
p12;9;1;30295.500000000004
p13;9;1;0.0
p14;9;1;0.0
p15;9;1;28540.014000000003
p16;9;1;0.0
p17;9;1;23886.608
p18;9;1;0.0
p19;9;1;0.0
p20;9;1;0.0
p21;9;1;0.0
p22;9;1;0.0
p23;9;1;-0.0
p24;9;1;23309.567999999996
p25;9;1;0.0
p26;9;1;0.0
p27;9;1;0.0
p28;9;1;0.0
p1;10;1;7289.575000000001
p2;10;1;0.0
p3;10;1;19085.955
p4;10;1;0.0
p5;10;1;0.0
p6;10;1;0.0
p7;10;1;14378.23
p8;10;1;0.0
p9;10;1;0.0
p10;10;1;0.0
p11;10;1;0.0
p12;10;1;4189.500000000001
p13;10;1;0.0
p14;10;1;0.0
p15;10;1;27931.566000000003
p16;10;1;0.0
p17;10;1;23449.194
p18;10;1;0.0
p19;10;1;0.0
p20;10;1;0.0
p21;10;1;0.0
p22;10;1;0.0
p23;10;1;-0.0
p24;10;1;46227.74399999999
p25;10;1;0.0
p26;10;1;0.0
p27;10;1;0.0
p28;10;1;0.0
p1;11;1;7106.488
p2;11;1;0.0
p3;11;1;18638.31
p4;11;1;0.0
p5;11;1;0.0
p6;11;1;0.0
p7;11;1;15533.780999999999
p8;11;1;0.0
p9;11;1;0.0
p10;11;1;0.0
p11;11;1;0.0
p12;11;1;0.0
p13;11;1;0.0
p14;11;1;0.0
p15;11;1;27332.625000000004
p16;11;1;0.0
p17;11;1;23002.271
p18;11;1;0.0
p19;11;1;0.0
p20;11;1;0.0
p21;11;1;0.0
p22;11;1;0.0
p23;11;1;-0.0
p24;11;1;50087.30399999999
p25;11;1;0.0
p26;11;1;0.0
p27;11;1;0.0
p28;11;1;0.0
p1;12;1;6916.620000000001
p2;12;1;0.0
p3;12;1;18190.665
p4;12;1;0.0
p5;12;1;0.0
p6;12;1;0.0
p7;12;1;12746.345
p8;12;1;0.0
p9;12;1;0.0
p10;12;1;0.0
p11;12;1;0.0
p12;12;1;0.0
p13;12;1;0.0
p14;12;1;0.0
p15;12;1;26724.177000000003
p16;12;1;0.0
p17;12;1;28346.329
p18;12;1;0.0
p19;12;1;0.0
p20;12;1;0.0
p21;12;1;0.0
p22;12;1;0.0
p23;12;1;-0.0
p24;12;1;49010.975999999995
p25;12;1;0.0
p26;12;1;0.0
p27;12;1;0.0
p28;12;1;0.0
p1;13;1;6726.752
p2;13;1;0.0
p3;13;1;17743.020000000004
p4;13;1;0.0
p5;13;1;0.0
p6;13;1;0.0
p7;13;1;13901.895999999999
p8;13;1;0.0
p9;13;1;0.0
p10;13;1;0.0
p11;13;1;0.0
p12;13;1;0.0
p13;13;1;0.0
p14;13;1;0.0
p15;13;1;26134.743000000002
p16;13;1;0.0
p17;13;1;16336.462000000001
p18;13;1;0.0
p19;13;1;0.0
p20;13;1;0.0
p21;13;1;28417.167
p22;13;1;0.0
p23;13;1;-0.0
p24;13;1;34290.28799999999
p25;13;1;0.0
p26;13;1;0.0
p27;13;1;1618.23
p28;13;1;0.0
p1;14;1;6536.884000000001
p2;14;1;0.0
p3;14;1;17295.375000000004
p4;14;1;0.0
p5;14;1;0.0
p6;14;1;0.0
p7;14;1;13743.118
p8;14;1;0.0
p9;14;1;0.0
p10;14;1;0.0
p11;14;1;0.0
p12;14;1;0.0
p13;14;1;0.0
p14;14;1;0.0
p15;14;1;25526.295000000006
p16;14;1;0.0
p17;14;1;21671.011000000002
p18;14;1;0.0
p19;14;1;0.0
p20;14;1;0.0
p21;14;1;15576.903
p22;14;1;0.0
p23;14;1;-0.0
p24;14;1;38508.623999999996
p25;14;1;0.0
p26;14;1;0.0
p27;14;1;4740.462
