f;t;r;value
Entero;1;1;61166.375520917725
Medio Pollo;1;1;69842.06293550326
Medio Pollo Superior;1;1;68646.76055079597
Medio Pollo Inferior;1;1;82558.18458059024
Cuarto de Pollo Superior;1;1;83852.03219118535
Muslo Entero;1;1;74906.51258313164
Pechuga Completa;1;1;99979.17607497505
Ala Completa;1;1;49892.92995913248
Media Pechuga;1;1;156244.35447126368
Blanqueta;1;1;110.28165766426658
Alón;1;1;0.0
Punta;1;1;0.0
Jamoncito;1;1;108478.94753885648
Medio Muslo;1;1;96625.2376132644
Entero;2;1;62436.92657779339
Medio Pollo;2;1;71864.52942494347
Medio Pollo Superior;2;1;106867.82661219203
Medio Pollo Inferior;2;1;56793.5554021335
Cuarto de Pollo Superior;2;1;127833.36781573562
Muslo Entero;2;1;74674.27387019474
Pechuga Completa;2;1;140731.1988017955
Ala Completa;2;1;57107.7080126513
Media Pechuga;2;1;118716.12769530874
Blanqueta;2;1;0.0
Alón;2;1;0.0
Punta;2;1;0.0
Jamoncito;2;1;111747.24536730176
Medio Muslo;2;1;218748.0080082484
Entero;3;1;47450.35008377879
Medio Pollo;3;1;71864.52942494347
Medio Pollo Superior;3;1;89028.30331364847
Medio Pollo Inferior;3;1;109758.47321407209
Cuarto de Pollo Superior;3;1;74270.16463286332
Muslo Entero;3;1;123456.54195289638
Pechuga Completa;3;1;90592.6271469775
Ala Completa;3;1;82601.85018479961
Media Pechuga;3;1;164792.0525026701
Blanqueta;3;1;0.0
Alón;3;1;0.0
Punta;3;1;0.0
Jamoncito;3;1;111747.24536730176
Medio Muslo;3;1;160148.74798732426
Entero;4;1;52087.43535978327
Medio Pollo;4;1;55613.07472453243
Medio Pollo Superior;4;1;89028.30331364847
Medio Pollo Inferior;4;1;88976.13039146246
Cuarto de Pollo Superior;4;1;140578.61228347762
Muslo Entero;4;1;108922.03801182262
Pechuga Completa;4;1;140235.71938951753
Ala Completa;4;1;61405.421734471936
Media Pechuga;4;1;165705.9746199499
Blanqueta;4;1;0.0
Alón;4;1;0.0
Punta;4;1;0.0
Jamoncito;4;1;111747.24536730176
Medio Muslo;4;1;103170.01263098943
Entero;5;1;61199.4800776707
Medio Pollo;5;1;45805.74407687014
Medio Pollo Superior;5;1;89028.30331364847
Medio Pollo Inferior;5;1;85191.42083401575
Cuarto de Pollo Superior;5;1;120247.78477278523
Muslo Entero;5;1;101611.78805358168
Pechuga Completa;5;1;126253.63473588547
Ala Completa;5;1;53813.021864340044
Media Pechuga;5;1;132720.27798422216
Blanqueta;5;1;0.0
Alón;5;1;0.0
Punta;5;1;0.0
Jamoncito;5;1;101634.26946285904
Medio Muslo;5;1;191711.38229097132
Entero;6;1;50395.39772709498
Medio Pollo;6;1;95820.79043639427
Medio Pollo Superior;6;1;65022.64439307049
Medio Pollo Inferior;6;1;81398.60000560072
Cuarto de Pollo Superior;6;1;110075.83545361516
Muslo Entero;6;1;70840.40778733345
Pechuga Completa;6;1;190996.61162593059
Ala Completa;6;1;68030.4366353721
Media Pechuga;6;1;190752.769375604
Blanqueta;6;1;0.0
Alón;6;1;0.0
Punta;6;1;0.0
Jamoncito;6;1;116638.47099661715
Medio Muslo;6;1;176486.43601652485
Entero;7;1;59524.058747680254
Medio Pollo;7;1;63141.49841987684
Medio Pollo Superior;7;1;113089.85561828094
Medio Pollo Inferior;7;1;80746.12488250322
Cuarto de Pollo Superior;7;1;104608.35993323545
Muslo Entero;7;1;70254.28577673895
Pechuga Completa;7;1;100691.90370716937
Ala Completa;7;1;49600.83977357466
Media Pechuga;7;1;118090.79904450673
Blanqueta;7;1;0.0
Alón;7;1;0.0
Punta;7;1;0.0
Jamoncito;7;1;77262.89973992144
Medio Muslo;7;1;112537.32661332373
Entero;8;1;65885.66030700841
Medio Pollo;8;1;46869.18401790208
Medio Pollo Superior;8;1;89028.30331364847
Medio Pollo Inferior;8;1;75451.30421824755
Cuarto de Pollo Superior;8;1;88402.25571193249
Muslo Entero;8;1;92617.19691860504
Pechuga Completa;8;1;89585.35766013525
Ala Completa;8;1;97740.29025176226
Media Pechuga;8;1;117270.97594608602
Blanqueta;8;1;0.0
