f;n;t;r;value
Entero;1;1;1;1424.0
Medio Pollo;1;1;1;1516.0
Medio Pollo Superior;1;1;1;1766.322580645162
Medio Pollo Inferior;1;1;1;1571.7419354838712
Cuarto de Pollo Superior;1;1;1;1952.7096774193542
Muslo Entero;1;1;1;1747.032258064517
Pechuga Completa;1;1;1;2438.709677419356
Ala Completa;1;1;1;890.8064516129034
Media Pechuga;1;1;1;2716.9354838709687
Blanqueta;1;1;1;85.75268817204324
Alón;1;1;1;42.09677419354739
Punta;1;1;1;12.473118279569462
Jamoncito;1;1;1;1376.8172043010754
Medio Muslo;1;1;1;2458.6021505376348
Entero;1;2;1;1424.0
Medio Pollo;1;2;1;1516.0
Medio Pollo Superior;1;2;1;1766.322580645162
Medio Pollo Inferior;1;2;1;1571.7419354838712
Cuarto de Pollo Superior;1;2;1;1952.709677419356
Muslo Entero;1;2;1;1747.032258064516
Pechuga Completa;1;2;1;2438.709677419356
Ala Completa;1;2;1;890.8064516129034
Media Pechuga;1;2;1;2716.935483870968
Blanqueta;1;2;1;85.75268817204324
Alón;1;2;1;42.09677419354921
Punta;1;2;1;12.473118279569462
Jamoncito;1;2;1;1376.8172043010754
Medio Muslo;1;2;1;2458.602150537633
Entero;1;3;1;1424.0
Medio Pollo;1;3;1;1516.0
Medio Pollo Superior;1;3;1;1766.322580645162
Medio Pollo Inferior;1;3;1;1571.7419354838712
Cuarto de Pollo Superior;1;3;1;1952.709677419356
Muslo Entero;1;3;1;1747.032258064516
Pechuga Completa;1;3;1;2438.709677419356
Ala Completa;1;3;1;890.8064516129034
Media Pechuga;1;3;1;2716.935483870968
Blanqueta;1;3;1;85.75268817204324
Alón;1;3;1;42.09677419354921
Punta;1;3;1;12.473118279569462
Jamoncito;1;3;1;1376.8172043010754
Medio Muslo;1;3;1;2458.602150537633
Entero;1;4;1;1424.0
Medio Pollo;1;4;1;1516.0
Medio Pollo Superior;1;4;1;1766.322580645162
Medio Pollo Inferior;1;4;1;1571.7419354838712
Cuarto de Pollo Superior;1;4;1;1952.709677419356
Muslo Entero;1;4;1;1747.032258064516
Pechuga Completa;1;4;1;2438.709677419356
Ala Completa;1;4;1;890.8064516129034
Media Pechuga;1;4;1;2716.935483870968
Blanqueta;1;4;1;85.75268817204324
Alón;1;4;1;42.09677419354921
Punta;1;4;1;12.473118279569462
Jamoncito;1;4;1;1376.8172043010754
Medio Muslo;1;4;1;2458.602150537633
Entero;1;5;1;1424.0
Medio Pollo;1;5;1;1516.0
Medio Pollo Superior;1;5;1;1766.322580645162
Medio Pollo Inferior;1;5;1;1571.7419354838712
Cuarto de Pollo Superior;1;5;1;1952.709677419356
Muslo Entero;1;5;1;1747.032258064516
Pechuga Completa;1;5;1;2438.709677419356
Ala Completa;1;5;1;890.8064516129034
Media Pechuga;1;5;1;2716.935483870968
Blanqueta;1;5;1;85.75268817204324
Alón;1;5;1;42.09677419354921
Punta;1;5;1;12.473118279569462
Jamoncito;1;5;1;1376.8172043010754
Medio Muslo;1;5;1;2458.602150537633
Entero;1;6;1;1424.0
Medio Pollo;1;6;1;1516.0
Medio Pollo Superior;1;6;1;1766.322580645162
Medio Pollo Inferior;1;6;1;1571.7419354838712
Cuarto de Pollo Superior;1;6;1;1953.0
Muslo Entero;1;6;1;1747.032258064516
Pechuga Completa;1;6;1;2438.709677419356
Ala Completa;1;6;1;890.8064516129034
Media Pechuga;1;6;1;2716.6935483870966
Blanqueta;1;6;1;85.72311827956855
Alón;1;6;1;42.08225806451628
Punta;1;6;1;12.468817204300649
Jamoncito;1;6;1;1376.8172043010754
Medio Muslo;1;6;1;2458.602150537633
Entero;1;7;1;1424.0
Medio Pollo;1;7;1;1516.0
Medio Pollo Superior;1;7;1;1766.322580645162
Medio Pollo Inferior;1;7;1;1571.7419354838712
Cuarto de Pollo Superior;1;7;1;1952.709677419356
Muslo Entero;1;7;1;1747.032258064516
Pechuga Completa;1;7;1;2438.709677419356
Ala Completa;1;7;1;890.8064516129034
Media Pechuga;1;7;1;2716.935483870968
Blanqueta;1;7;1;85.75268817204324
Alón;1;7;1;42.09677419354921
Punta;1;7;1;12.473118279569462
Jamoncito;1;7;1;1376.8172043010754
Medio Muslo;1;7;1;2458.602150537633
Entero;1;8;1;1424.0
Medio Pollo;1;8;1;1516.0
Medio Pollo Superior;1;8;1;1766.322580645162
Medio Pollo Inferior;1;8;1;1571.7419354838712
Cuarto de Pollo Superior;1;8;1;1952.709677419356
Muslo Entero;1;8;1;1747.032258064516
Pechuga Completa;1;8;1;2438.709677419356
Ala Completa;1;8;1;890.8064516129034
Media Pechuga;1;8;1;2716.935483870968
Blanqueta;1;8;1;85.75268817204324
Alón;1;8;1;42.09677419354921
Punta;1;8;1;12.473118279569462
Jamoncito;1;8;1;1376.8172043010754
Medio Muslo;1;8;1;2458.602150537633
Entero;1;9;1;1424.0
Medio Pollo;1;9;1;1516.0
Medio Pollo Superior;1;9;1;1766.322580645162
Medio Pollo Inferior;1;9;1;1571.7419354838712
Cuarto de Pollo Superior;1;9;1;1952.709677419356
Muslo Entero;1;9;1;1747.032258064516
Pechuga Completa;1;9;1;2438.709677419356
Ala Completa;1;9;1;890.8064516129034
Media Pechuga;1;9;1;2716.935483870968
Blanqueta;1;9;1;85.75268817204324
Alón;1;9;1;42.09677419354921
Punta;1;9;1;12.473118279569462
Jamoncito;1;9;1;1376.8172043010754
Medio Muslo;1;9;1;2458.602150537633
Entero;1;10;1;1424.0
Medio Pollo;1;10;1;1516.0
Medio Pollo Superior;1;10;1;1766.322580645162
Medio Pollo Inferior;1;10;1;1571.7419354838712
Cuarto de Pollo Superior;1;10;1;1952.709677419356
Muslo Entero;1;10;1;1747.032258064516
Pechuga Completa;1;10;1;2438.709677419356
Ala Completa;1;10;1;890.8064516129034
Media Pechuga;1;10;1;2716.935483870968
Blanqueta;1;10;1;85.75268817204324
Alón;1;10;1;42.09677419354921
